Output template: perf,%engine%,%impl%,%name%,%prb%,%Gops%,%+ctime%,%-time%,%-Gflops%,%0time%,%0Gflops%
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 256x256:256x256,0.0335544,0.606201,0.012207,2748.78,0.0126161,2659.65
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 512x512:512x512,0.268435,0.390137,0.0871582,3079.86,0.0890667,3013.87
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 768x768:768x768,0.90597,0.594727,0.285889,3168.96,0.306915,2951.85
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 1024x1024:1024x1024,2.14748,0.80957,0.91333,2351.27,0.96905,2216.07
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 1280x1280:1280x1280,4.1943,0.653809,1.67114,2509.84,1.72011,2438.4
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 1536x1536:1536x1536,7.24776,0.829346,3.16772,2288,3.20691,2260.04
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 1792x1792:1792x1792,11.5092,1.28687,4.69629,2450.69,4.74178,2427.18
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 2048x2048:2048x2048,17.1799,0.721436,7.41895,2315.68,7.47278,2298.99
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 2304x2304:2304x2304,24.4612,1.1731,10.1018,2421.47,10.1737,2404.35
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 2560x2560:2560x2560,33.5544,1.14331,14.3909,2331.65,14.4781,2317.6
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --dt=u8:s8:s32 2816x2816:2816x2816,44.6609,1.17847,18.9773,2353.39,19.0746,2341.38
