Output template: perf,%engine%,%impl%,%name%,%prb%,%Gops%,%+ctime%,%-time%,%-Gflops%,%0time%,%0Gflops%
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x4864:4864x256,0.637534,0.421631,0.139893,4557.31,0.150328,4240.94
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x5120:5120x256,0.671089,0.425049,0.147461,4550.96,0.157687,4255.82
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x5376:5376x256,0.704643,0.338623,0.153809,4581.3,0.163543,4308.61
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x5632:5632x256,0.738198,0.43042,0.161621,4567.46,0.174358,4233.79
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x5888:5888x256,0.771752,0.417725,0.164062,4704.01,0.179788,4292.56
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x6144:6144x256,0.805306,0.434326,0.17627,4568.61,0.188765,4266.19
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x6400:6400x256,0.838861,0.44458,0.18457,4544.94,0.200672,4180.26
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x6656:6656x256,0.872415,0.365723,0.189941,4593.08,0.204653,4262.91
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x6912:6912x256,0.90597,0.452393,0.197266,4592.64,0.209844,4317.34
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x7168:7168x256,0.939524,0.368652,0.202881,4630.92,0.216447,4340.66
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x7424:7424x256,0.973079,0.447266,0.212891,4570.79,0.225752,4310.39
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x7680:7680x256,1.00663,0.953857,0.227539,4424,0.248422,4052.1
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x7936:7936x256,1.04019,1.61084,0.240479,4325.49,0.255724,4067.62
perf,cpu,brg_matmul:avx10_1_512_amx,,--mode=P --matmul --cold-cache=all --dt=u8:s8:s32 256x8192:8192x256,1.07374,1.66187,0.250244,4290.78,0.275482,3897.68
tests:32 passed:32 skipped:0 mistrusted:0 unimplemented:0 invalid_arguments:0 failed:0 listed:0
total perf: min(ms):3.95557 avg(ms):4.31233
total: 117.17s; create_pd: 0.01s (0%); create_prim: 0.01s (0%); fill: 0.21s (0%); execute: 0.01s (0%);
